ticker,status,effective_date,ratio_new_per_old,ratio_float,type,label,sec_accession,filing,note
APLE,VERIFIED,2015-05-18,1/2,0.5,reverse,1-for-2,0001185185-15-002053,research (splits_2014_2021.py),
WSFS,VERIFIED,2015-05-18,3,3.0,forward,3-for-1,0001193125-15-282929,research (splits_2014_2021.py),
PATK,VERIFIED,2015-05-29,3/2,1.5,forward,3/2-for-1,0001437749-15-008649,research (splits_2014_2021.py),
EXPO,VERIFIED,2015-06-04,2,2.0,forward,2-for-1,0001144204-15-034077,research (splits_2014_2021.py),
LNTH,VERIFIED,2015-06-25,11121/31250,0.355872,reverse,11121-for-31250,0001193125-16-490104,research (splits_2014_2021.py),
KR,VERIFIED,2015-07-13,2,2.0,forward,2-for-1,0001104659-15-047569,research (splits_2014_2021.py),
ARR,VERIFIED,2015-07-31,1/8,0.125,reverse,1-for-8,0001428205-15-000191,research (splits_2014_2021.py),
BTU,VERIFIED,2015-09-30,1/15,0.06666666666666667,reverse,1-for-15,0001064728-15-000098,research (splits_2014_2021.py),
AX,VERIFIED,2015-11-17,4,4.0,forward,4-for-1,0001299709-15-000142,research (splits_2014_2021.py),
CBSH,VERIFIED,2015-12-14,21/20,1.05,forward,21/20-for-1,0000022356-16-000058,research (splits_2014_2021.py),
ENSG,VERIFIED,2015-12-23,2,2.0,forward,2-for-1,0001125376-15-000111,research (splits_2014_2021.py),
NKE,VERIFIED,2015-12-23,2,2.0,forward,2-for-1,0000320187-15-000226,research (splits_2014_2021.py),
SHEN,VERIFIED,2015-12-31,2,2.0,forward,2-for-1,0001171843-15-005599,research (splits_2014_2021.py),
UA,VERIFIED,2016-04-07,2,2.0,forward,2-for-1,0001336917-16-000077,research (splits_2014_2021.py),
UAA,VERIFIED,2016-04-07,2,2.0,forward,2-for-1,0001336917-16-000099,research (splits_2014_2021.py),
TR,VERIFIED,2016-04-08,103/100,1.03,forward,103/100-for-1,0001558370-16-005638,research (splits_2014_2021.py),
USFD,VERIFIED,2016-05-17,10/27,0.37037037037037035,reverse,10-for-27,0001564590-17-002622,research (splits_2014_2021.py),
CRC,VERIFIED,2016-05-31,1/10,0.1,reverse,1-for-10,0001609253-17-000047,research (splits_2014_2021.py),
HOMB,VERIFIED,2016-06-08,2,2.0,forward,2-for-1,0001193125-16-551902,research (splits_2014_2021.py),
SBSI,VERIFIED,2016-06-28,21/20,1.05,forward,21/20-for-1,0000705432-16-000213,research (splits_2014_2021.py),
ACLS,VERIFIED,2016-06-30,1/4,0.25,reverse,1-for-4,0001104659-16-130922,research (splits_2014_2021.py),
PI,VERIFIED,2016-07-08,1/12,0.08333333333333333,reverse,1-for-12,0001564590-17-003329,research (splits_2014_2021.py),
CRK,VERIFIED,2016-07-29,1/5,0.2,reverse,1-for-5,0000023194-16-000060,research (splits_2014_2021.py),
VSEC,VERIFIED,2016-08-03,2,2.0,forward,2-for-1,0000102752-16-000104,research (splits_2014_2021.py),
LKFN,VERIFIED,2016-08-05,3/2,1.5,forward,3/2-for-1,0000721994-16-000071,research (splits_2014_2021.py),
BMI,VERIFIED,2016-09-15,2,2.0,forward,2-for-1,0000009092-16-000025,research (splits_2014_2021.py),
TTC,VERIFIED,2016-09-16,2,2.0,forward,2-for-1,0001104659-16-140378,research (splits_2014_2021.py),
CBSH,VERIFIED,2016-12-19,21/20,1.05,forward,21/20-for-1,0000022356-17-000009,research (splits_2014_2021.py),
SFBS,VERIFIED,2016-12-20,2,2.0,forward,2-for-1,0001144204-16-135509,research (splits_2014_2021.py),
IART,VERIFIED,2017-01-03,2,2.0,forward,2-for-1,0000917520-16-000107,research (splits_2014_2021.py),
GNL,VERIFIED,2017-02-28,1/3,0.3333333333333333,reverse,1-for-3,0001144204-17-011836,research (splits_2014_2021.py),
PLUS,VERIFIED,2017-03-31,2,2.0,forward,2-for-1,0001022408-17-000004,research (splits_2014_2021.py),
TR,VERIFIED,2017-04-17,103/100,1.03,forward,103/100-for-1,0001558370-17-003669,research (splits_2014_2021.py),
GEO,VERIFIED,2017-04-24,3/2,1.5,forward,3/2-for-1,0001193125-17-137344,research (splits_2014_2021.py),
SLGN,VERIFIED,2017-05-26,2,2.0,forward,2-for-1,0000849869-17-000020,research (splits_2014_2021.py),
SBSI,VERIFIED,2017-06-27,41/40,1.025,forward,41/40-for-1,0000705432-17-000095,research (splits_2014_2021.py),
MRTN,VERIFIED,2017-07-07,5/3,1.6666666666666667,forward,5/3-for-1,0001437749-17-013978,research (splits_2014_2021.py),
BANF,VERIFIED,2017-07-31,2,2.0,forward,2-for-1,0001564590-17-021415,research (splits_2014_2021.py),
TNDM,VERIFIED,2017-10-09,1/10,0.1,reverse,1-for-10,0001564590-17-019347,research (splits_2014_2021.py),
EYE,VERIFIED,2017-10-24,100000/196627,0.5085771536971017,reverse,100000-for-196627,0001710155-19-000016,research (splits_2014_2021.py),
MARA,VERIFIED,2017-10-30,1/4,0.25,reverse,1-for-4,0001493152-17-013329,research (splits_2014_2021.py),
UFPI,VERIFIED,2017-11-14,3,3.0,forward,3-for-1,0001558370-17-007388,research (splits_2014_2021.py),
CGNX,VERIFIED,2017-12-01,2,2.0,forward,2-for-1,0001157523-17-002875,research (splits_2014_2021.py),
PATK,VERIFIED,2017-12-08,3/2,1.5,forward,3/2-for-1,0000076605-17-000145,research (splits_2014_2021.py),
CBSH,VERIFIED,2017-12-18,21/20,1.05,forward,21/20-for-1,0000022356-18-000015,research (splits_2014_2021.py),
NSP,VERIFIED,2017-12-18,2,2.0,forward,2-for-1,0001000753-17-000078,research (splits_2014_2021.py),
GGG,VERIFIED,2017-12-27,3,3.0,forward,3-for-1,0000042888-18-000009,research (splits_2014_2021.py),
NEOG,VERIFIED,2017-12-29,4/3,1.3333333333333333,forward,4/3-for-1,0001193125-17-364832,research (splits_2014_2021.py),
VCTR,VERIFIED,2018-02-01,87597/500,175.194,forward,87597/500-for-1,0001047469-18-002299,research (splits_2014_2021.py),
SFNC,VERIFIED,2018-02-08,2,2.0,forward,2-for-1,0001171843-18-000439,research (splits_2014_2021.py),
TR,VERIFIED,2018-04-06,103/100,1.03,forward,103/100-for-1,0001558370-18-004567,research (splits_2014_2021.py),
EXPO,VERIFIED,2018-06-07,2,2.0,forward,2-for-1,0001144204-18-031995,research (splits_2014_2021.py),
TREX,VERIFIED,2018-06-18,2,2.0,forward,2-for-1,0001193125-18-231658,research (splits_2014_2021.py),
CASH,VERIFIED,2018-10-04,3,3.0,forward,3-for-1,0000907471-18-000073,research (splits_2014_2021.py),
SHOO,VERIFIED,2018-10-11,3/2,1.5,forward,3/2-for-1,0001019056-18-001006,research (splits_2014_2021.py),
CBSH,VERIFIED,2018-12-17,21/20,1.05,forward,21/20-for-1,0000022356-19-000013,research (splits_2014_2021.py),
CSR,VERIFIED,2018-12-27,1/10,0.1,reverse,1-for-10,0001628280-18-015189,research (splits_2014_2021.py),
CHDN,VERIFIED,2019-01-25,3,3.0,forward,3-for-1,0000020212-19-000004,research (splits_2014_2021.py),
PINS,VERIFIED,2019-03-28,1/3,0.3333333333333333,reverse,1-for-3,0001628280-19-006928,research (splits_2014_2021.py),
TR,VERIFIED,2019-04-05,103/100,1.03,forward,103/100-for-1,0001558370-19-004785,research (splits_2014_2021.py),
MARA,VERIFIED,2019-04-08,1/4,0.25,reverse,1-for-4,0001493152-19-004965,research (splits_2014_2021.py),
VAL,VERIFIED,2019-04-11,1/4,0.25,reverse,1-for-4,0000314808-19-000085,research (splits_2014_2021.py),
FFIN,VERIFIED,2019-06-03,2,2.0,forward,2-for-1,0001193125-19-116942,research (splits_2014_2021.py),
CUZ,VERIFIED,2019-06-14,1/4,0.25,reverse,1-for-4,0001104659-19-035688,research (splits_2014_2021.py),
SPSC,VERIFIED,2019-08-22,2,2.0,forward,2-for-1,0001171843-19-004883,research (splits_2014_2021.py),
ELS,VERIFIED,2019-10-15,2,2.0,forward,2-for-1,0000895417-19-000062,research (splits_2014_2021.py),
CLSK,VERIFIED,2019-12-11,1/10,0.1,reverse,1-for-10,0001663577-19-000416,research (splits_2014_2021.py),
CBSH,VERIFIED,2019-12-18,21/20,1.05,forward,21/20-for-1,0000022356-20-000009,research (splits_2014_2021.py),
OPCH,VERIFIED,2020-02-03,1/4,0.25,reverse,1-for-4,0001104659-20-009797,research (splits_2014_2021.py),
TR,VERIFIED,2020-04-03,103/100,1.03,forward,103/100-for-1,0001558370-20-005994,research (splits_2014_2021.py),
VTOL,VERIFIED,2020-06-11,1/3,0.3333333333333333,reverse,1-for-3,0001140361-20-014075,research (splits_2014_2021.py),
KNTK,VERIFIED,2020-06-30,1/20,0.05,reverse,1-for-20,0001193125-20-184688,research (splits_2014_2021.py),
MRTN,VERIFIED,2020-08-13,3/2,1.5,forward,3/2-for-1,0001437749-20-022878,research (splits_2014_2021.py),
POWI,VERIFIED,2020-08-18,2,2.0,forward,2-for-1,0001157523-20-001076,research (splits_2014_2021.py),
AAPL,VERIFIED,2020-08-28,4,4.0,forward,4-for-1,0001193125-20-213158,research (splits_2014_2021.py),
TREX,VERIFIED,2020-09-14,2,2.0,forward,2-for-1,0001193125-20-284053,research (splits_2014_2021.py),
BNL,VERIFIED,2020-09-18,4,4.0,forward,4-for-1,0001564590-20-051393,research (splits_2014_2021.py),
NOG,VERIFIED,2020-09-18,1/10,0.1,reverse,1-for-10,0001104485-20-000179,research (splits_2014_2021.py),
RUSHA,VERIFIED,2020-10-12,3/2,1.5,forward,3/2-for-1,0001437749-20-019748,research (splits_2014_2021.py),
SGI,VERIFIED,2020-11-23,4,4.0,forward,4-for-1,0001206264-20-000228,research (splits_2014_2021.py),
SF,VERIFIED,2020-12-16,3/2,1.5,forward,3/2-for-1,0001564590-20-053544,research (splits_2014_2021.py),
CBSH,VERIFIED,2020-12-18,21/20,1.05,forward,21/20-for-1,0000022356-21-000015,research (splits_2014_2021.py),
SLG,VERIFIED,2021-01-20,50000/51459,0.9716473308847821,reverse,50000-for-51459,0001104659-21-005909,research (splits_2014_2021.py),
AGNT,VERIFIED,2021-02-12,2,2.0,forward,2-for-1,0001558370-21-000263,research (splits_2014_2021.py),
FIZZ,VERIFIED,2021-02-19,2,2.0,forward,2-for-1,0001437749-21-002233,research (splits_2014_2021.py),
HWKN,VERIFIED,2021-03-01,2,2.0,forward,2-for-1,0000046250-21-000012,research (splits_2014_2021.py),
TR,VERIFIED,2021-04-02,103/100,1.03,forward,103/100-for-1,0001558370-21-005899,research (splits_2014_2021.py),
TRST,VERIFIED,2021-05-27,1/5,0.2,reverse,1-for-5,0001140361-21-019199,research (splits_2014_2021.py),
NEOG,VERIFIED,2021-06-04,2,2.0,forward,2-for-1,0001193125-21-230829,research (splits_2014_2021.py),
PECO,VERIFIED,2021-07-02,1/3,0.3333333333333333,reverse,1-for-3,0001476204-21-000128,research (splits_2014_2021.py),
NVDA,VERIFIED,2021-07-19,4,4.0,forward,4-for-1,0001045810-21-000056,8-K,
IVT,VERIFIED,2021-08-05,1/10,0.1,reverse,1-for-10,0001193125-21-237728,research (splits_2014_2021.py),
PLUS,VERIFIED,2021-12-13,2,2.0,forward,2-for-1,0001140361-22-003800,research (splits_2014_2021.py),
CBSH,VERIFIED,2021-12-17,21/20,1.05,forward,21/20-for-1,0000022356-22-000014,research (splits_2014_2021.py),
NSSC,VERIFIED,2022-01-04,2,2.0,forward,2-for-1,0001558370-21-016588,8-K,
MBIN,VERIFIED,2022-01-17,3/2,1.5,forward,3/2-for-1,0001558370-22-002893,research (splits_2014_2021.py),
SLG,VERIFIED,2022-01-21,5000/5153,0.9703085581214826,reverse,5000-for-5153,0001040971-22-000014,research (splits_2014_2021.py),
PENG,VERIFIED,2022-02-01,2,2.0,forward,2-for-1,0001628280-22-008434,research (splits_2014_2021.py),
ACMR,VERIFIED,2022-03-23,3,3.0,forward,3-for-1,0001140361-22-007685,8-K,
ENOV,VERIFIED,2022-04-04,1/3,0.3333333333333333,reverse,1-for-3,0001420800-22-000008,research (splits_2014_2021.py),
TR,VERIFIED,2022-04-08,103/100,1.03,forward,103/100-for-1,0001558370-22-012406,research (splits_2014_2021.py),
AMZN,VERIFIED,2022-06-06,20,20.0,forward,20-for-1,0001104659-22-065872,8-K,
KNTK,VERIFIED,2022-06-08,2,2.0,forward,2-for-1,0001692787-23-000016,research (splits_2014_2021.py),
GOOGL,VERIFIED,2022-07-15,20,20.0,forward,20-for-1,0001193125-22-167375,8-K,
GME,VERIFIED,2022-07-21,4,4.0,forward,4-for-1,0001326380-22-000100,8-K,
REX,VERIFIED,2022-08-05,3,3.0,forward,3-for-1,0000930413-24-001186,research (splits_2014_2021.py),
NLY,VERIFIED,2022-09-23,1/4,0.25,reverse,1-for-4,0001193125-22-250257,8-K,
AHR,VERIFIED,2022-11-15,1/4,0.25,reverse,1-for-4,0001632970-23-000029,research (splits_2014_2021.py),
CBSH,VERIFIED,2022-12-19,21/20,1.05,forward,21/20-for-1,0000022356-23-000017,research (splits_2014_2021.py),
DAVE,VERIFIED,2023-01-05,1/32,0.03125,reverse,1-for-32,0000950170-23-060316,research (splits_2014_2021.py),
ADAM,VERIFIED,2023-03-09,1/4,0.25,reverse,1-for-4,0001273685-23-000075,research (splits_2014_2021.py),
TR,VERIFIED,2023-04-07,103/100,1.03,forward,103/100-for-1,0001558370-23-013835,research (splits_2014_2021.py),
SEZL,VERIFIED,2023-05-11,1/38,0.02631578947368421,reverse,1-for-38,0001662991-23-000125,research (splits_2014_2021.py),
CHDN,VERIFIED,2023-05-19,2,2.0,forward,2-for-1,0000020212-23-000078,8-K,
EXLS,VERIFIED,2023-08-01,5,5.0,forward,5-for-1,0001193125-23-200662,8-K,
AAON,VERIFIED,2023-08-16,3/2,1.5,forward,3/2-for-1,0000824142-23-000174,research (splits_2014_2021.py),
RUSHA,VERIFIED,2023-08-28,3/2,1.5,forward,3/2-for-1,0001437749-23-031173,research (splits_2014_2021.py),
ARR,VERIFIED,2023-09-29,1/5,0.2,reverse,1-for-5,0001428205-23-000189,research (splits_2014_2021.py),
MLI,VERIFIED,2023-10-20,2,2.0,forward,2-for-1,0000089439-23-000066,8-K,
CELH,VERIFIED,2023-11-13,3,3.0,forward,3-for-1,0001341766-23-000030,8-K,
SNEX,VERIFIED,2023-11-24,3/2,1.5,forward,3/2-for-1,0000913760-24-000025,research (splits_2014_2021.py),
CBSH,VERIFIED,2023-12-19,21/20,1.05,forward,21/20-for-1,0000022356-24-000013,research (splits_2014_2021.py),
HUBG,VERIFIED,2024-01-26,2,2.0,forward,2-for-1,0000950170-24-021432,10-K (no 8-K filed),
CENT,VERIFIED,2024-02-08,5/4,1.25,forward,5/4-for-1,0000887733-24-000011,research (splits_2014_2021.py),
CENTA,VERIFIED,2024-02-08,5/4,1.25,forward,5/4-for-1,0000887733-24-000011,research (splits_2014_2021.py),
WMT,VERIFIED,2024-02-23,3,3.0,forward,3-for-1,0000104169-24-000004,8-K,
TR,VERIFIED,2024-04-05,103/100,1.03,forward,103/100-for-1,0001558370-24-011564,research (splits_2014_2021.py),
NVDA,VERIFIED,2024-06-07,10,10.0,forward,10-for-1,0001045810-24-000206,8-K,
FLG,VERIFIED,2024-07-11,1/3,0.3333333333333333,reverse,1-for-3,0000910073-24-000169,research (splits_2014_2021.py),
USLM,VERIFIED,2024-07-12,5,5.0,forward,5-for-1,0001558370-24-006804,8-K,
TTEK,VERIFIED,2024-09-06,5,5.0,forward,5-for-1,0001104659-24-097783,8-K,
SIRI,VERIFIED,2024-09-09,1/10,0.1,reverse,1-for-10,0000908937-25-000005,research (splits_2014_2021.py),
SARO,VERIFIED,2024-09-20,103,103.0,forward,103-for-1,0001193125-25-274305,research (splits_2014_2021.py),
SMCI,VERIFIED,2024-09-30,10,10.0,forward,10-for-1,0001375365-24-000035,8-K,
PANW,VERIFIED,2024-12-13,2,2.0,forward,2-for-1,0001193125-24-277082,8-K,
PATK,VERIFIED,2024-12-13,3/2,1.5,forward,3/2-for-1,0000076605-25-000062,research (splits_2014_2021.py),
CBSH,VERIFIED,2024-12-18,21/20,1.05,forward,21/20-for-1,0000022356-25-000016,research (splits_2014_2021.py),
CRVL,VERIFIED,2024-12-24,3,3.0,forward,3-for-1,0001193125-24-285219,8-K,
MTH,VERIFIED,2025-01-02,2,2.0,forward,2-for-1,0000833079-25-000021,10-K (no 8-K filed),
RLI,VERIFIED,2025-01-15,2,2.0,forward,2-for-1,0000084246-24-000028,8-K,
OUT,VERIFIED,2025-01-17,1000000/1024549,0.9760392133514356,reverse,1000000-for-1024549,0001579877-25-000034,research (splits_2014_2021.py),
SNEX,VERIFIED,2025-03-21,3/2,1.5,forward,3/2-for-1,0000913760-25-000089,research (splits_2014_2021.py),
SEZL,VERIFIED,2025-03-28,6,6.0,forward,6-for-1,0001662991-25-000085,research (splits_2014_2021.py),
TR,VERIFIED,2025-04-04,103/100,1.03,forward,103/100-for-1,0001558370-25-010878,research (splits_2014_2021.py),
DEA,VERIFIED,2025-04-28,2/5,0.4,reverse,2-for-5,0000950170-25-060207,research (splits_2014_2021.py),
COKE,VERIFIED,2025-05-23,10,10.0,forward,10-for-1,0000317540-25-000062,8-K,
PEGA,VERIFIED,2025-06-20,2,2.0,forward,2-for-1,0001013857-25-000210,research (splits_2014_2021.py),
APG,VERIFIED,2025-06-30,3/2,1.5,forward,3/2-for-1,0001628280-25-036919,research (splits_2014_2021.py),
REX,VERIFIED,2025-09-15,2,2.0,forward,2-for-1,0000930413-25-003566,research (splits_2014_2021.py),
LXP,VERIFIED,2025-11-10,1/5,0.2,reverse,1-for-5,0000910108-25-000074,8-K,
CBSH,VERIFIED,2025-12-16,21/20,1.05,forward,21/20-for-1,0000022356-26-000069,research (splits_2014_2021.py),
SF,VERIFIED,2026-02-26,3/2,1.5,forward,3/2-for-1,0001193125-26-202795,research (splits_2014_2021.py),
SNEX,VERIFIED,2026-03-20,3/2,1.5,forward,3/2-for-1,0000913760-26-000031,research (splits_2014_2021.py),
PIPR,VERIFIED,2026-03-23,4,4.0,forward,4-for-1,0001104659-26-033351,8-K,
POWL,VERIFIED,2026-04-01,3,3.0,forward,3-for-1,0000080420-26-000054,8-K,
TR,VERIFIED,2026-04-03,103/100,1.03,forward,103/100-for-1,0001104659-26-092633,research (splits_2014_2021.py),
MLI,VERIFIED,2026-06-30,2,2.0,forward,2-for-1,0000089439-26-000032,research (splits_2014_2021.py),
SNEX,VERIFIED,2026-07-17,3/2,1.5,forward,3/2-for-1,0000913760-26-000038,research (splits_2014_2021.py),
