ticker,company,action,date_or_period,date_precision,category,source_url,source_type,quote_or_evidence,confidence
NUE,Nucor,BUY,2021-08-09,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): NUE entry 2021-08-09. Exit not published.,high
PAG,Penske Automotive,BUY,2021-09-01,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): PAG entry 2021-09-01. Exit not published.,high
TSLA,Tesla,BUY,2021-09-24,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): TSLA entry 2021-09-24. Exit not published.,high
AIG,American International Group,BUY,2021-10,month,own_trade,https://www.benzinga.com/news/21/10/23318272/aig-shares-up-1-2-at-new-session-high-hearing-swing-trader-mark-minervini-has-initiated-new-position,article,Benzinga hearing-headline: Minervini has initiated new position in AIG,medium
RVLV,Revolve Group,BUY,2021-10,month,own_trade,https://www.benzinga.com/news/21/10/23746114/revolve-group-shares-rebound-from-low-on-volume-as-hearing-swing-trader-mark-minervini-calls-stock-a,article,Benzinga hearing-headline: Minervini calls stock a buy,medium
OLN,Olin,BUY,2021-10-11,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): OLN entry 2021-10-11. Exit not published.,high
UPST,Upstart,BUY,2021-10-12,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): UPST entry 2021-10-12. Exit not published.,high
SCHW,Charles Schwab,BUY,2021-10-15,exact,own_trade,https://caseystubbs.substack.com/p/how-mark-minervini-won-the-us-investing,article,"Blog shows SCHW entry Oct 15, 2021 (gap-up after squat reversal); not on the 21-name published list",low
ASYS,Amtech Systems,BUY,2021-10-26,exact,own_trade,https://monty-trader.com/en/2022/01/22/usic-2021%E5%B9%B4%E5%84%AA%E5%8B%9D%E8%80%85%E3%83%9E%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%9F%E3%83%8D%E3%83%AB%E3%83%B4%E3%82%A3%E3%83%8B%E6%B0%8F%E3%81%AE%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC,article,Minervini-published USIC 2021 sample trade list (ticker + entry date): ASYS entry 2021-10-26. Exit not published.,high
AAPL,Apple,HOLD,2021-11,month,own_trade,https://www.benzinga.com/news/21/11/24147429/apple-shares-up-1-hearing-swing-trader-mark-minervini-is-long-apple,article,Benzinga hearing-headline: Minervini is long Apple,medium
NUE,Nucor,BUY,2021-11,month,own_trade,https://www.benzinga.com/news/21/11/24193328/nucor-shares-at-session-high-up-1-4-hearing-swing-trader-mark-minervini-calls-stock-a-pick,article,Benzinga hearing-headline: Minervini calls stock a pick,medium
CARR,Carrier Global,BUY,2021-12,month,own_trade,https://www.benzinga.com/news/21/12/24481736/watching-carrier-global-hearing-trader-mark-minervini-names-stock-as-new-buy,article,Benzinga hearing-headline: Minervini names stock as new buy,medium
SRTS,Sensus Healthcare,BUY,2021-12,month,own_trade,https://www.benzinga.com/news/21/12/24756830/sensus-healthcare-shares-spike-to-session-high-on-volume-hearing-swing-trader-mark-minervini-bought,article,Benzinga hearing-headline: Minervini bought the stock (URL path 2021-12; one snippet said Apr 2022),medium
YELL,Yellow Corp,BUY,2021-12,month,own_trade,https://www.benzinga.com/news/21/12/24509798/yellow-shares-spike-higher-as-hearing-swing-trader-mark-minervini-called-stock-a-pick,article,Benzinga hearing-headline: Minervini called stock a pick,medium
UPST,Upstart,SELL,2021-Q4,quarter,own_trade,https://x.com/markminervini/status/1511395010297671687,other,"Tweet 2022-04-05: Fortunately, I sold it at $319. Sale date not given; entry was 2021-10-12",medium
XLE,Energy Select Sector SPDR ETF,BUY,2022-01-03,exact,own_trade,https://financialtechwiz.com/post/mark-minervini-s-trading-strategy-8-key-takeaways,article,"Tweeted Jan 4, 2022 that he bought $XLE the day before (Yesterday morning we bought the $XLE)",medium
XLE,Energy Select Sector SPDR ETF,DISCUSSED,2022-01-07,exact,discussed,https://x.com/markminervini/status/1479547509253021701,other,$XLE 4 of 5 days up; short-term traders could take the quick 10% profit; big weekly breakout,high
HAL,Halliburton,DISCUSSED,2022-03-07,exact,discussed,https://x.com/markminervini/status/1500857267767365640,other,This morning $HAL is playing catch up with $OXY,high
OXY,Occidental Petroleum,DISCUSSED,2022-03-07,exact,discussed,https://x.com/markminervini/status/1500857267767365640,other,This morning $HAL is playing catch up with $OXY,high
XLE,Energy Select Sector SPDR ETF,DISCUSSED,2022-03-07,exact,discussed,https://x.com/markminervini/status/1500857267767365640,other,$XLE still forging ahead as oil rallies unabated,high
DHI,D.R. Horton,SELL,2023-12,month,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111581758750730,other,Repost of X post: Sold our $LEN and $DHI at a nice profit this morning; LEN earnings next day implies ~2023-12-13,medium
DIA,SPDR Dow Jones Industrial Average ETF,SELL,2023-12,month,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111615594790918,other,SHORT sale: we got short the $DIA today (moomoo repost dated 2023-12-21),medium
LEN,Lennar,SELL,2023-12,month,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111581758750730,other,Repost of X post: Sold our $LEN and $DHI at a nice profit this morning; LEN earnings next day implies ~2023-12-13,medium
NVDA,NVIDIA,BUY,2024-01,month,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111722936139782,other,"Repost: bought NVDA right on the open at 9:34AM on VCP breakout, with stop; repost falls between 2023-12-28 and 2024-01-19",medium
BKNG,Booking Holdings,HOLD,2024-01-19,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111779897147798,other,"Repost dated 2024-01-19: we currently hold these, profitable from lower entries",medium
CAMT,Camtek,HOLD,2024-01-19,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111779897147798,other,"Repost dated 2024-01-19: we currently hold these, profitable from lower entries",medium
CW,Curtiss-Wright,HOLD,2024-01-19,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111779897147798,other,"Repost dated 2024-01-19: we currently hold these, profitable from lower entries",medium
GOOGL,Alphabet,HOLD,2024-01-19,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111779897147798,other,"Repost dated 2024-01-19: we currently hold these, profitable from lower entries",medium
GWRE,Guidewire Software,HOLD,2024-01-19,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111779897147798,other,"Repost dated 2024-01-19: we currently hold these, profitable from lower entries",medium
META,Meta Platforms,HOLD,2024-01-19,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111779897147798,other,"Repost dated 2024-01-19: we currently hold these, profitable from lower entries",medium
NVDA,NVIDIA,HOLD,2024-01-19,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111779897147798,other,"Repost dated 2024-01-19: we currently hold these, profitable from lower entries",medium
TW,Tradeweb Markets,HOLD,2024-01-19,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111779897147798,other,"Repost dated 2024-01-19: we currently hold these, profitable from lower entries",medium
CAMT,Camtek,SELL,2024-01-25,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,other,"Repost dated 2024-01-25: Sold $NVDA, $META, $GWRE, $CAMT - highly profitable, got out on the way up",medium
CW,Curtiss-Wright,HOLD,2024-01-25,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,other,Repost dated 2024-01-25: still holding profitable names including this one,medium
EYPT,EyePoint Pharmaceuticals,HOLD,2024-01-25,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,other,Repost dated 2024-01-25: still holding profitable names including this one,medium
GOOGL,Alphabet,SELL,2024-01-25,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,other,"Repost dated 2024-01-25: Trimmed $NFLX, $GOOGL, $RMBS, $VMC (partial sale)",medium
GWRE,Guidewire Software,SELL,2024-01-25,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,other,"Repost dated 2024-01-25: Sold $NVDA, $META, $GWRE, $CAMT - highly profitable, got out on the way up",medium
HUBB,Hubbell,HOLD,2024-01-25,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,other,Repost dated 2024-01-25: still holding profitable names including this one,medium
LBPH,Longboard Pharmaceuticals,HOLD,2024-01-25,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,other,Repost dated 2024-01-25: still holding profitable names including this one,medium
LULU,Lululemon,HOLD,2024-01-25,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,other,Repost dated 2024-01-25: still holding profitable names including this one,medium
META,Meta Platforms,SELL,2024-01-25,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,other,"Repost dated 2024-01-25: Sold $NVDA, $META, $GWRE, $CAMT - highly profitable, got out on the way up",medium
NFLX,Netflix,SELL,2024-01-25,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,other,"Repost dated 2024-01-25: Trimmed $NFLX, $GOOGL, $RMBS, $VMC (partial sale)",medium
NVDA,NVIDIA,SELL,2024-01-25,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,other,"Repost dated 2024-01-25: Sold $NVDA, $META, $GWRE, $CAMT - highly profitable, got out on the way up",medium
RMBS,Rambus,SELL,2024-01-25,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,other,"Repost dated 2024-01-25: Trimmed $NFLX, $GOOGL, $RMBS, $VMC (partial sale)",medium
TJX,TJX Companies,HOLD,2024-01-25,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,other,Repost dated 2024-01-25: still holding profitable names including this one,medium
UBER,Uber Technologies,HOLD,2024-01-25,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,other,Repost dated 2024-01-25: still holding profitable names including this one,medium
URBN,Urban Outfitters,HOLD,2024-01-25,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,other,Repost dated 2024-01-25: still holding profitable names including this one,medium
VMC,Vulcan Materials,SELL,2024-01-25,exact,own_trade,https://www.moomoo.com/community/feed/mark-minervini-x-updated-111812914380806,other,"Repost dated 2024-01-25: Trimmed $NFLX, $GOOGL, $RMBS, $VMC (partial sale)",medium
IBIT,iShares Bitcoin Trust ETF,BUY,2024-02-07,exact,own_trade,https://x.com/markminervini/status/1762138783422566690,other,Tweet 2024-02-26: we bought Bitcoin via $IBIT on February 7. I Tweeted the entry with the chart,high
IBIT,iShares Bitcoin Trust ETF,HOLD,2024-03-04,exact,own_trade,https://x.com/markminervini/status/1764797131406074159,other,I'm already up 54% on Bitcoin... where I bought $IBIT on 2/7/24,high
MU,Micron Technology,BUY,2024-04-26,exact,own_trade,https://x.com/markminervini/status/1795475913833845049,other,Tweet 2024-05-28: the $MU position since I bought and posted it on Apr. 26,high
MU,Micron Technology,HOLD,2024-05-28,exact,own_trade,https://x.com/markminervini/status/1795475913833845049,other,"We have not sold any of the $MU position... Actually, we added to it.",high
APP,AppLovin,BUY,2024-09-12,exact,own_trade,https://x.com/markminervini/status/1834268442897064242,other,"Names emerged from our Focus List; we added some new names (per-name buy implied, not explicit)",medium
AXON,Axon Enterprise,BUY,2024-09-12,exact,own_trade,https://x.com/markminervini/status/1834268442897064242,other,"Names emerged from our Focus List; we added some new names (per-name buy implied, not explicit)",medium
DVA,DaVita,BUY,2024-09-12,exact,own_trade,https://x.com/markminervini/status/1834268442897064242,other,"Names emerged from our Focus List; we added some new names (per-name buy implied, not explicit)",medium
LMB,Limbach Holdings,BUY,2024-09-12,exact,own_trade,https://x.com/markminervini/status/1834268442897064242,other,"Names emerged from our Focus List; we added some new names (per-name buy implied, not explicit)",medium
NMM,Navios Maritime Partners,BUY,2024-09-12,exact,own_trade,https://x.com/markminervini/status/1834268442897064242,other,"Names emerged from our Focus List; we added some new names (per-name buy implied, not explicit)",medium
ONON,On Holding,HOLD,2024-09-12,exact,own_trade,https://x.com/markminervini/status/1834268442897064242,other,One of our best performers and largest position - $ONON - is having a good day,high
SCHW,Charles Schwab,SELL,2024-09-12,exact,own_trade,https://x.com/markminervini/status/1834268442897064242,other,SHORT position: We are still short $SCHW,high
RNA,Avidity Biosciences,BUY,2024-11-13,exact,own_trade,https://x.com/markminervini/status/1856764704234041720,other,We bought $RNA this morning - the stock subsequently shot up 20% on huge volume,high
RNA,Avidity Biosciences,SELL,2024-11-13,exact,own_trade,https://x.com/markminervini/status/1856764704234041720,other,"we sold part of the position to finance the risk (partial sale, same day)",high
SPY,SPDR S&P 500 ETF,SELL,2024-12-09,exact,own_trade,https://x.com/markminervini/status/1874139838313574883,other,"SHORT: tweet 2024-12-31 I am still short the $SPY from 12/9... Personally, I have no longs",high
NVDA,NVIDIA,SELL,2024-Q1,quarter,own_trade,https://x.com/markminervini/status/1760774946777706636,other,Tweet 2024-02-22: NVDA still powering ahead; I sold waaaayyy too soon... I made a nice profit,high
SPY,SPDR S&P 500 ETF,SELL,2025-02-24,exact,own_trade,https://x.com/markminervini/status/1901692374763376678,other,SHORT: I covered half my $SPY short initiated on Feb 24 (tweet 2025-03-17),high
TATT,TAT Technologies,BUY,2025-04,month,own_trade,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,article,Quoted X post: We bought $TATT this morning just before a massive breakout,medium
ABVX,Abivax,HOLD,2025-08,month,own_trade,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,article,Same X post (mid-Aug 2025): residual open positions include this ticker,medium
CCL,Carnival,BUY,2025-08,month,own_trade,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,article,Quoted X post (mid-Aug 2025): We added $CCL and $UBER long this morning,medium
IBIT,iShares Bitcoin Trust ETF,HOLD,2025-08,month,own_trade,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,article,Same X post (mid-Aug 2025): residual open positions include this ticker,medium
IWM,iShares Russell 2000 ETF,HOLD,2025-08,month,own_trade,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,article,Same X post (mid-Aug 2025): residual open positions include this ticker,medium
IWN,iShares Russell 2000 Value ETF,BUY,2025-08,month,own_trade,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,article,Quoted X post (late Aug 2025): We already bought $IWN several days ago in anticipation,medium
OLLI,Ollie's Bargain Outlet,HOLD,2025-08,month,own_trade,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,article,Same X post (mid-Aug 2025): residual open positions include this ticker,medium
STX,Seagate Technology,HOLD,2025-08,month,own_trade,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,article,Same X post (mid-Aug 2025): residual open positions include this ticker,medium
