ticker,quarter,field,stored,source_value,source_accession,match,class_of_mismatch
ONTO,Q4 2023,revenue,218856000.0,218856000.0,0000950170-24-012766,yes,
ONTO,Q4 2023,net_income,30309000.0,30309000.0,0000950170-24-012766,yes,
ONTO,Q4 2023,earnings_release_date,2024-02-08,2024-02-08,0000950170-24-012766,yes,
OPCH,Q4 2024,eps,0.35,0.35,0001014739-25-000008,yes,
OPCH,Q4 2024,revenue,1346418000.0,1346418000.0,0001014739-25-000008,yes,
OPCH,Q4 2024,net_income,60133000.0,60133000.0,0001014739-25-000008,yes,
OPCH,Q4 2024,earnings_release_date,2025-02-26,2025-02-26,0001014739-25-000008,yes,
OVV,Q1 2022,eps,-0.94,,0001564590-22-019043,n/a,NO_SOURCE_VALUE (value not in source doc: OVV release w/o GAAP statement; UTL 10-K w/o Q4 column; CURB carve-out w/o EPS)
OVV,Q1 2022,revenue,1967000000.0,,0001564590-22-019043,n/a,NO_SOURCE_VALUE (value not in source doc: OVV release w/o GAAP statement; UTL 10-K w/o Q4 column; CURB carve-out w/o EPS)
OVV,Q1 2022,net_income,-241000000.0,-241000000.0,0001564590-22-019043,yes,
OVV,Q1 2022,earnings_release_date,2022-05-09,2022-05-09,0001564590-22-019043,yes,
PI,Q3 2024,eps,0.01,0.01,0000950170-24-116657,yes,
PI,Q3 2024,revenue,95198000.0,95198000.0,0000950170-24-116657,yes,
PI,Q3 2024,net_income,221000.0,221000.0,0000950170-24-116657,yes,
PI,Q3 2024,earnings_release_date,2024-10-23,2024-10-23,0000950170-24-116657,yes,
PRGS,Q1 2026,eps,0.53,0.53,0000876167-26-000050,yes,
PRGS,Q1 2026,revenue,247799000.0,247799000.0,0000876167-26-000050,yes,
PRGS,Q1 2026,net_income,22813000.0,22813000.0,0000876167-26-000050,yes,
PRGS,Q1 2026,earnings_release_date,2026-03-30,2026-03-30,0000876167-26-000050,yes,
RDN,Q4 2023,eps,0.9,0.91,0001157523-24-000197,yes,
RDN,Q4 2023,revenue,326022000.0,328644000.0,0001157523-24-000197,no,"Q4_DERIVATION_MIXED_BASIS (revenue, 0.8%): prior 2023 quarters restated (securities-lending reclass); FY - original Q1..Q3; no 10-K direct Q4 fact post-2021 to arbitrate"
RDN,Q4 2023,net_income,142693000.0,142693000.0,0001157523-24-000197,yes,
RDN,Q4 2023,earnings_release_date,2024-02-08,2024-02-07,0001157523-24-000197,no,ONE_DAY_LAG_8K_AFTER_DATELINE: 8-K filed the day after the dateline (conservative)
SGI,Q1 2025,eps,-0.17,-0.17,0001206264-25-000111,yes,
SGI,Q1 2025,revenue,1604700000.0,1604700000.0,0001206264-25-000111,yes,
SGI,Q1 2025,net_income,-33100000.0,-33100000.0,0001206264-25-000111,yes,
SGI,Q1 2025,earnings_release_date,2025-05-08,2025-05-08,0001206264-25-000111,yes,
SPHR,Q4 2024,eps,-1.32,-1.31,0001795250-24-000028,yes,
SPHR,Q4 2024,revenue,273395000.0,273395000.0,0001795250-24-000028,yes,
SPHR,Q4 2024,net_income,-46586000.0,-46586000.0,0001795250-24-000028,yes,
SPHR,Q4 2024,earnings_release_date,2024-08-14,2024-08-14,0001795250-24-000028,yes,
STBA,Q4 2022,eps,1.03,1.03,0000719220-23-000003,yes,
STBA,Q4 2022,revenue,104701000.0,104701000.0,0000719220-23-000003,yes,
STBA,Q4 2022,net_income,40270000.0,40270000.0,0000719220-23-000003,yes,
STBA,Q4 2022,earnings_release_date,2023-01-26,2023-01-26,0000719220-23-000003,yes,
TCBI,Q2 2023,eps,1.33,1.33,0001077428-23-000152,yes,
TCBI,Q2 2023,revenue,278001000.0,278001000.0,0001077428-23-000152,yes,
TCBI,Q2 2023,net_income,68651000.0,68651000.0,0001077428-23-000152,yes,
TCBI,Q2 2023,earnings_release_date,2023-07-20,2023-07-20,0001077428-23-000152,yes,
TR,Q2 2024,eps,0.22,0.22,0001558370-24-010134,yes,
TR,Q2 2024,revenue,150736000.0,148819000.0,0001558370-24-010134,no,"DEFINITION: store total revenue incl. rental/other vs release ""net product sales"" only (release gives no total line)"
TR,Q2 2024,net_income,15640000.0,15640000.0,0001558370-24-010134,yes,
TR,Q2 2024,earnings_release_date,2024-07-25,2024-07-24,0001558370-24-010134,no,ONE_DAY_LAG_8K_AFTER_DATELINE: 8-K filed the day after the dateline (conservative)
UTL,Q4 2023,eps,0.96,,0000950170-24-014186,n/a,NO_SOURCE_VALUE (value not in source doc: OVV release w/o GAAP statement; UTL 10-K w/o Q4 column; CURB carve-out w/o EPS)
UTL,Q4 2023,revenue,129600000.0,,0000950170-24-014186,n/a,NO_SOURCE_VALUE (value not in source doc: OVV release w/o GAAP statement; UTL 10-K w/o Q4 column; CURB carve-out w/o EPS)
UTL,Q4 2023,net_income,15500000.0,,0000950170-24-014186,n/a,NO_SOURCE_VALUE (value not in source doc: OVV release w/o GAAP statement; UTL 10-K w/o Q4 column; CURB carve-out w/o EPS)
UTL,Q4 2023,earnings_release_date,2024-02-13,2024-02-13,0000950170-24-014186,yes,
VFC,Q3 2023,eps,1.31,1.31,0001157523-23-000196,yes,
VFC,Q3 2023,revenue,3530667000.0,3530667000.0,0001157523-23-000196,yes,
VFC,Q3 2023,net_income,507868000.0,507868000.0,0001157523-23-000196,yes,
VFC,Q3 2023,earnings_release_date,2023-02-07,2023-02-07,0001157523-23-000196,yes,
YELP,Q4 2025,eps,0.6,0.61,0001345016-26-000011,yes,
YELP,Q4 2025,revenue,359989000.0,359989000.0,0001345016-26-000011,yes,
YELP,Q4 2025,net_income,37796000.0,37796000.0,0001345016-26-000011,yes,
YELP,Q4 2025,earnings_release_date,2026-02-12,2026-02-12,0001345016-26-000011,yes,
