ticker,quarter,field,stored,source_value,source_accession,match,class_of_mismatch
NMIH,Q1 2016,revenue,22185000.0,22185000.0,0001547903-16-000227,yes,
NMIH,Q1 2016,net_income,-3907000.0,-3907000.0,0001547903-16-000227,yes,
NMIH,Q1 2016,earnings_release_date,2016-04-26,2016-04-26,0001547903-16-000227,yes,
OC,Q1 2018,eps,0.82,0.82,0001370946-18-000016,yes,
OC,Q1 2018,revenue,1691000000.0,1691000000.0,0001370946-18-000016,yes,
OC,Q1 2018,net_income,92000000.0,92000000.0,0001370946-18-000016,yes,
OC,Q1 2018,earnings_release_date,2018-04-25,2018-04-25,0001370946-18-000016,yes,
PARR,Q4 2016,eps,0.3,0.3,0000821483-17-000002,yes,
PARR,Q4 2016,revenue,563136000.0,563136000.0,0000821483-17-000002,yes,
PARR,Q4 2016,net_income,13687000.0,13687000.0,0000821483-17-000002,yes,
PARR,Q4 2016,earnings_release_date,2017-02-28,2017-02-28,0000821483-17-000002,yes,
PB,Q4 2018,eps,1.19,1.19,0001564590-19-001333,yes,
PB,Q4 2018,revenue,186327000.0,186327000.0,0001564590-19-001333,yes,
PB,Q4 2018,net_income,83331000.0,83331000.0,0001564590-19-001333,yes,
PB,Q4 2018,earnings_release_date,2019-01-30,2019-01-30,0001564590-19-001333,yes,
PCTY,Q2 2016,eps,-0.02,-0.02,0001104659-16-093963,yes,
PCTY,Q2 2016,revenue,55184000.0,55184000.0,0001104659-16-093963,yes,
PCTY,Q2 2016,net_income,-1165000.0,-1165000.0,0001104659-16-093963,yes,
PCTY,Q2 2016,earnings_release_date,2016-02-04,2016-02-04,0001104659-16-093963,yes,
RCUS,Q2 2019,eps,-0.64,-0.64,0001564590-19-029369,yes,
RCUS,Q2 2019,revenue,1750000.0,1750000.0,0001564590-19-029369,yes,
RCUS,Q2 2019,net_income,-28090000.0,-28090000.0,0001564590-19-029369,yes,
RCUS,Q2 2019,earnings_release_date,2019-08-06,2019-08-06,0001564590-19-029369,yes,
RDNT,Q2 2017,eps,0.11,0.11,0001683168-17-002014,yes,
RDNT,Q2 2017,revenue,230014000.0,230014000.0,0001683168-17-002014,yes,
RDNT,Q2 2017,net_income,5310000.0,5310000.0,0001683168-17-002014,yes,
RDNT,Q2 2017,earnings_release_date,2017-08-09,2017-08-08,0001683168-17-002014,no,ONE_DAY_LAG_8K_AFTER_DATELINE: 8-K filed the morning after an after-close release (conservative)
SSD,Q4 2015,eps,0.3,0.3,0000920371-16-000201,yes,
SSD,Q4 2015,revenue,184764000.0,184764000.0,0000920371-16-000201,yes,
SSD,Q4 2015,net_income,14732000.0,14733000.0,0000920371-16-000201,yes,
SSD,Q4 2015,earnings_release_date,2016-02-04,2016-02-04,0000920371-16-000201,yes,
TRNO,Q4 2019,eps,0.22,0.22,0001476150-20-000003,yes,
TRNO,Q4 2019,revenue,45015000.0,45015000.0,0001476150-20-000003,yes,
TRNO,Q4 2019,net_income,14821000.0,14821000.0,0001476150-20-000003,yes,
TRNO,Q4 2019,earnings_release_date,2020-02-06,2020-02-06,0001476150-20-000003,yes,
UMBF,Q1 2019,eps,1.18,1.18,0001564590-19-012408,yes,
UMBF,Q1 2019,revenue,271250000.0,271250000.0,0001564590-19-012408,yes,
UMBF,Q1 2019,net_income,57744000.0,57744000.0,0001564590-19-012408,yes,
UMBF,Q1 2019,earnings_release_date,2019-04-23,2019-04-23,0001564590-19-012408,yes,
UTI,Q1 2018,eps,-0.1,-0.1,0001261654-18-000009,yes,
UTI,Q1 2018,revenue,81156000.0,81156000.0,0001261654-18-000009,yes,
UTI,Q1 2018,net_income,-1135000.0,-1135000.0,0001261654-18-000009,yes,
UTI,Q1 2018,earnings_release_date,2018-02-08,2018-02-08,0001261654-18-000009,yes,
VSAT,Q2 2019,eps,-0.43,-0.43,0001193125-18-314896,yes,
VSAT,Q2 2019,revenue,517474000.0,517474000.0,0001193125-18-314896,yes,
VSAT,Q2 2019,net_income,-25598000.0,-25724000.0,0001193125-18-314896,yes,
VSAT,Q2 2019,earnings_release_date,2018-11-01,2018-11-01,0001193125-18-314896,yes,
WING,Q4 2018,eps,0.08,0.08,0001636222-19-000038,yes,
WING,Q4 2018,revenue,40509000.0,40500000.0,0001636222-19-000038,yes,
WING,Q4 2018,net_income,2419000.0,2419000.0,0001636222-19-000038,yes,
WING,Q4 2018,earnings_release_date,2019-02-27,2019-02-27,0001636222-19-000038,yes,
